Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
M,300.9,311.0,1567.0,34.3,130.0,0,No Failure
M,300.9,311.1,1546.0,37.7,133.0,0,No Failure
L,300.9,311.0,1382.0,51.2,136.0,0,No Failure
L,300.9,311.0,2003.0,20.2,138.0,0,No Failure
L,300.8,310.9,1748.0,29.9,140.0,0,No Failure
H,300.7,310.8,1518.0,40.1,142.0,0,No Failure
L,300.7,310.8,1475.0,42.0,147.0,0,No Failure
L,300.8,310.8,1634.0,29.2,149.0,0,No Failure
L,300.8,310.8,1689.0,32.9,151.0,0,No Failure
M,300.9,310.9,1636.0,35.3,153.0,0,No Failure
L,300.9,311.0,2235.0,15.8,156.0,0,No Failure
L,301.0,311.1,1615.0,35.6,158.0,0,No Failure
H,301.1,311.1,1618.0,29.5,160.0,0,No Failure
M,301.1,311.2,1407.0,53.0,165.0,0,No Failure
L,301.1,311.1,1450.0,43.3,168.0,0,No Failure
L,301.1,311.1,1889.0,23.8,170.0,0,No Failure
L,301.0,310.9,1568.0,38.2,172.0,0,No Failure
L,301.0,311.0,1804.0,25.8,174.0,0,No Failure
L,301.0,311.0,1582.0,37.5,176.0,0,No Failure
M,301.0,310.9,2047.0,17.9,178.0,0,No Failure
L,300.9,310.9,1601.0,34.0,181.0,0,No Failure
L,300.9,310.9,1615.0,32.0,183.0,0,No Failure
M,300.9,310.8,1452.0,43.6,185.0,0,No Failure
M,300.9,310.8,1695.0,30.2,188.0,0,No Failure
M,300.9,310.8,1790.0,26.2,191.0,0,No Failure
M,301.0,310.8,1533.0,39.3,194.0,0,No Failure
L,301.0,310.9,1813.0,28.5,197.0,0,No Failure
L,301.0,310.9,1492.0,36.7,199.0,0,No Failure
L,300.9,310.7,1479.0,43.3,201.0,0,No Failure
L,300.8,310.7,1339.0,59.1,203.0,1,OSF
M,300.8,310.7,1371.0,44.7,205.0,0,No Failure
L,300.9,310.7,1468.0,36.2,208.0,0,No Failure
L,300.9,310.7,1517.0,41.7,210.0,0,No Failure
L,300.9,310.7,1352.0,46.4,212.0,0,No Failure
L,300.9,310.7,1389.0,50.0,214.0,0,No Failure
M,300.8,310.6,1505.0,36.2,0.0,0,No Failure
L,300.9,310.6,1538.0,36.7,3.0,0,No Failure
L,300.9,310.8,1482.0,37.0,5.0,0,No Failure
M,300.9,310.8,1599.0,33.0,7.0,0,No Failure
L,300.9,310.8,1476.0,39.0,10.0,0,No Failure
L,300.9,310.7,1509.0,37.5,12.0,0,No Failure
L,300.9,310.8,1708.0,29.1,14.0,0,No Failure
L,300.9,310.7,1658.0,28.5,18.0,0,No Failure
L,301.0,310.8,1375.0,57.2,20.0,0,No Failure
M,300.9,310.8,1402.0,48.1,22.0,0,No Failure
M,300.9,310.7,1452.0,47.3,25.0,0,No Failure
M,300.8,310.7,1483.0,40.8,28.0,0,No Failure
H,300.9,310.8,1477.0,38.4,31.0,0,No Failure
M,300.8,310.7,1924.0,22.4,36.0,0,No Failure
H,300.9,310.7,1609.0,28.7,39.0,0,No Failure
M,300.8,310.7,1886.0,21.1,44.0,0,No Failure
L,300.7,310.6,1616.0,29.6,47.0,0,No Failure
L,300.7,310.7,1442.0,43.2,49.0,0,No Failure
L,300.8,310.8,1407.0,45.1,51.0,0,No Failure
M,300.8,310.8,1461.0,41.3,53.0,0,No Failure
M,300.8,310.9,1522.0,46.2,56.0,0,No Failure
L,300.9,311.0,1432.0,48.1,59.0,0,No Failure
L,300.9,311.0,1438.0,49.0,61.0,0,No Failure
M,300.8,310.9,1678.0,28.1,63.0,0,No Failure
M,300.8,310.9,1514.0,38.7,66.0,0,No Failure
L,300.7,310.8,1534.0,41.3,69.0,0,No Failure
M,300.7,310.8,1486.0,41.2,71.0,0,No Failure
L,300.7,310.8,1925.0,22.0,74.0,0,No Failure
M,300.7,310.8,1724.0,30.0,76.0,0,No Failure
M,300.8,310.8,1549.0,35.5,79.0,0,No Failure
L,300.8,310.9,1457.0,47.7,82.0,0,No Failure
L,300.8,310.9,1453.0,43.9,84.0,0,No Failure
L,300.8,311.0,1578.0,44.4,86.0,0,No Failure
M,300.9,311.1,1325.0,61.4,88.0,0,No Failure
L,300.9,311.1,1471.0,39.3,91.0,0,No Failure
M,300.9,311.2,1472.0,40.0,93.0,0,No Failure
L,300.9,311.1,1457.0,37.4,96.0,0,No Failure
L,301.0,311.0,1402.0,55.3,98.0,0,No Failure
L,300.9,310.9,1477.0,41.5,100.0,0,No Failure
M,300.9,310.9,1727.0,30.1,102.0,0,No Failure
L,300.9,310.9,1995.0,20.2,105.0,0,No Failure
L,300.9,310.9,1370.0,52.5,107.0,0,No Failure
L,300.9,310.9,1228.0,66.4,109.0,0,No Failure
L,300.9,311.0,1499.0,38.0,111.0,0,No Failure
M,301.0,311.0,1508.0,46.9,113.0,0,No Failure
L,301.0,310.9,1473.0,44.2,116.0,0,No Failure
H,301.0,311.0,1640.0,37.6,118.0,0,No Failure
L,301.1,311.1,1429.0,42.5,123.0,0,No Failure
L,301.1,311.1,1470.0,40.9,125.0,0,No Failure
L,301.0,311.0,1581.0,37.0,127.0,0,No Failure
L,301.0,310.9,1740.0,28.9,129.0,0,No Failure
H,300.9,310.8,1390.0,40.6,131.0,0,No Failure
M,300.9,310.8,1988.0,19.7,136.0,0,No Failure
M,300.8,310.7,1452.0,43.0,139.0,0,No Failure
L,300.8,310.7,1586.0,33.4,142.0,0,No Failure
L,300.8,310.7,1589.0,34.3,144.0,0,No Failure
L,300.8,310.8,1486.0,45.7,146.0,0,No Failure
L,300.9,310.9,1755.0,27.9,148.0,0,No Failure
M,301.0,310.9,1575.0,34.6,150.0,0,No Failure
M,301.1,311.1,1615.0,37.7,153.0,0,No Failure
M,301.1,311.1,1436.0,41.8,156.0,0,No Failure
M,301.1,311.1,1470.0,40.6,159.0,0,No Failure
M,301.1,311.1,2089.0,19.8,162.0,0,No Failure
L,301.1,311.2,1564.0,37.0,165.0,0,No Failure
M,301.0,311.1,1420.0,47.4,167.0,0,No Failure
L,301.1,311.1,1711.0,29.1,170.0,0,No Failure
L,301.1,311.2,1555.0,35.3,172.0,0,No Failure
M,301.1,311.1,1592.0,35.7,174.0,0,No Failure
L,301.0,311.1,1236.0,64.4,177.0,1,OSF
M,301.0,310.9,1765.0,24.2,179.0,0,No Failure
L,301.0,311.0,1634.0,31.2,182.0,0,No Failure
L,301.1,311.1,1508.0,41.5,184.0,0,No Failure
L,301.1,311.2,1774.0,29.6,186.0,0,No Failure
L,301.1,311.0,1677.0,29.1,188.0,0,No Failure
L,301.0,311.0,1399.0,58.0,190.0,1,OSF
L,301.0,310.9,1570.0,34.0,192.0,0,No Failure
L,301.0,310.9,1479.0,44.3,194.0,0,No Failure
L,301.0,310.8,1558.0,34.9,196.0,0,No Failure
L,300.8,310.7,1358.0,48.1,198.0,0,No Failure
H,300.9,310.7,1656.0,30.7,200.0,0,No Failure
L,300.9,310.7,1523.0,35.8,205.0,0,No Failure
H,300.9,310.7,1403.0,40.6,207.0,0,No Failure
M,300.9,310.7,1362.0,51.6,212.0,0,No Failure
M,300.7,310.6,1778.0,27.1,215.0,0,No Failure
L,300.7,310.5,1448.0,38.2,218.0,0,No Failure
H,300.8,310.5,1559.0,40.1,220.0,0,No Failure
L,300.8,310.6,1416.0,42.2,225.0,0,No Failure
L,300.8,310.6,1577.0,37.9,227.0,1,TWF
L,300.8,310.7,1633.0,27.8,0.0,0,No Failure
L,300.9,310.7,1573.0,31.2,2.0,0,No Failure
L,300.9,310.8,1517.0,44.3,4.0,0,No Failure
L,301.0,310.9,1515.0,37.3,6.0,0,No Failure
L,301.0,310.8,1527.0,45.3,8.0,0,No Failure
L,301.1,310.9,1282.0,67.9,10.0,1,PWF
M,301.1,310.9,1396.0,45.1,12.0,0,No Failure
L,301.0,310.9,1492.0,44.6,15.0,0,No Failure
L,301.0,310.8,1975.0,19.7,17.0,0,No Failure
L,301.0,310.8,1475.0,35.3,19.0,0,No Failure
H,301.0,310.9,1495.0,37.3,21.0,0,No Failure
L,301.0,311.0,1553.0,35.8,26.0,0,No Failure
L,301.1,311.0,1918.0,21.7,28.0,0,No Failure
M,301.1,311.0,1413.0,46.6,30.0,0,No Failure
L,301.0,311.0,1437.0,56.0,33.0,0,No Failure
L,301.0,310.9,1450.0,45.9,35.0,0,No Failure
M,301.0,310.9,1910.0,21.9,37.0,0,No Failure
L,300.9,310.9,1749.0,26.4,40.0,0,No Failure
H,301.0,310.9,1916.0,22.0,42.0,0,No Failure
L,301.0,310.9,1428.0,45.3,47.0,0,No Failure
L,301.0,310.9,1578.0,38.4,49.0,0,No Failure
L,300.9,310.8,1571.0,39.9,51.0,0,No Failure
L,300.9,310.8,1729.0,30.2,53.0,0,No Failure
L,300.9,310.8,1701.0,30.4,55.0,0,No Failure
L,300.9,310.8,1493.0,45.8,57.0,0,No Failure
M,301.0,310.9,1554.0,32.7,59.0,0,No Failure
L,300.9,310.9,1497.0,43.2,62.0,0,No Failure
L,301.0,310.9,1679.0,29.8,64.0,0,No Failure
M,301.0,310.9,1510.0,44.5,66.0,0,No Failure
L,301.0,310.9,1296.0,54.9,69.0,0,No Failure
L,301.0,310.9,1404.0,41.8,71.0,0,No Failure
M,300.9,310.8,1519.0,34.9,73.0,0,No Failure
M,300.9,310.7,1696.0,27.3,76.0,0,No Failure
M,300.8,310.6,1669.0,28.4,79.0,0,No Failure
L,300.7,310.6,1447.0,40.7,82.0,0,No Failure
M,300.7,310.6,1418.0,46.3,84.0,0,No Failure
L,300.7,310.6,1407.0,40.5,87.0,0,No Failure
L,300.8,310.5,1434.0,44.5,89.0,0,No Failure
L,300.8,310.6,1360.0,48.8,91.0,0,No Failure
L,300.8,310.6,1402.0,53.7,93.0,0,No Failure
L,300.9,310.6,1552.0,34.9,95.0,0,No Failure
L,300.9,310.7,1392.0,44.2,97.0,0,No Failure
L,301.1,310.8,1521.0,41.0,99.0,0,No Failure
L,301.1,310.8,1724.0,27.5,101.0,0,No Failure
M,301.0,310.7,1455.0,46.1,103.0,0,No Failure
H,301.0,310.6,1366.0,50.6,106.0,0,No Failure
H,301.1,310.6,1407.0,43.9,111.0,0,No Failure
L,301.1,310.8,1470.0,49.3,116.0,0,No Failure
M,301.2,310.9,1359.0,50.8,118.0,0,No Failure
H,301.1,310.8,1792.0,25.8,121.0,0,No Failure
M,301.1,310.9,1552.0,37.9,126.0,0,No Failure
L,301.2,311.0,1612.0,32.9,129.0,0,No Failure
M,301.2,311.0,1424.0,41.4,131.0,0,No Failure
H,301.3,311.0,1341.0,59.3,134.0,0,No Failure
L,301.2,310.8,1479.0,38.2,139.0,0,No Failure
L,301.2,310.9,1413.0,50.1,141.0,0,No Failure
L,301.3,310.9,2165.0,17.4,143.0,0,No Failure
M,301.3,311.0,1641.0,33.0,145.0,0,No Failure
M,301.3,311.0,1495.0,40.8,148.0,0,No Failure
L,301.3,311.0,1576.0,30.4,151.0,0,No Failure
L,301.2,310.9,1467.0,37.1,153.0,0,No Failure
L,301.2,310.8,1479.0,41.2,155.0,0,No Failure
L,301.3,310.9,1596.0,33.9,157.0,0,No Failure
M,301.3,310.9,1512.0,36.9,159.0,0,No Failure
L,301.4,310.9,1414.0,38.8,162.0,0,No Failure
L,301.3,310.8,1390.0,57.4,164.0,0,No Failure
L,301.2,310.7,1644.0,31.6,166.0,0,No Failure
M,301.2,310.7,1394.0,42.8,168.0,0,No Failure
L,301.1,310.5,1324.0,52.4,171.0,0,No Failure
L,301.0,310.4,1476.0,43.6,173.0,0,No Failure
L,301.0,310.4,2204.0,16.6,175.0,0,No Failure
M,301.0,310.4,1665.0,30.9,177.0,0,No Failure
L,300.9,310.4,1445.0,41.7,180.0,0,No Failure
H,300.8,310.3,1457.0,46.8,182.0,0,No Failure
L,300.8,310.2,1492.0,46.3,187.0,0,No Failure
L,300.8,310.1,1405.0,61.2,189.0,1,PWF
L,300.7,310.1,1542.0,35.5,191.0,0,No Failure
L,300.8,310.2,1520.0,37.7,193.0,0,No Failure
M,300.8,310.2,1598.0,36.5,195.0,0,No Failure
L,300.8,310.3,1538.0,36.1,198.0,0,No Failure
L,300.9,310.4,1615.0,30.9,200.0,0,No Failure
L,301.0,310.5,1408.0,47.0,202.0,0,No Failure
L,301.0,310.5,1379.0,57.3,204.0,1,OSF
L,301.0,310.6,1493.0,37.8,206.0,1,TWF
L,301.1,310.7,1376.0,49.1,0.0,0,No Failure
M,301.1,310.7,1583.0,40.7,2.0,0,No Failure
M,301.2,310.8,1396.0,47.4,5.0,0,No Failure
L,301.1,310.7,1436.0,45.3,8.0,0,No Failure
L,301.1,310.6,1417.0,47.6,10.0,0,No Failure
L,301.0,310.6,1641.0,33.4,12.0,0,No Failure
M,301.0,310.6,1698.0,27.3,14.0,0,No Failure
L,300.9,310.4,1541.0,39.1,17.0,0,No Failure
L,300.8,310.3,1383.0,46.6,19.0,0,No Failure
L,300.8,310.4,1368.0,46.8,21.0,0,No Failure
L,300.8,310.4,1570.0,35.2,23.0,0,No Failure
L,300.9,310.5,1616.0,33.5,25.0,0,No Failure
M,300.9,310.5,1444.0,43.2,27.0,0,No Failure
L,300.9,310.4,2021.0,18.8,30.0,0,No Failure
M,300.9,310.5,1702.0,29.3,32.0,0,No Failure
M,301.1,310.6,1429.0,52.7,35.0,0,No Failure
L,301.2,310.8,1711.0,28.9,38.0,0,No Failure
M,301.2,310.7,1543.0,32.9,40.0,0,No Failure
L,301.3,310.8,1628.0,32.2,43.0,0,No Failure
L,301.2,310.8,1233.0,64.6,45.0,0,No Failure
L,301.2,310.8,1461.0,40.6,47.0,0,No Failure
L,301.2,310.7,1568.0,38.3,49.0,0,No Failure
L,301.3,310.8,1432.0,54.4,51.0,0,No Failure
M,301.2,310.7,1527.0,41.1,53.0,0,No Failure
M,301.3,310.8,1455.0,41.2,56.0,0,No Failure
M,301.3,310.8,1418.0,45.4,59.0,0,No Failure
L,301.3,310.8,1719.0,29.5,62.0,0,No Failure
M,301.2,310.8,1734.0,31.3,64.0,0,No Failure
M,301.2,310.7,1426.0,46.1,67.0,0,No Failure
L,301.1,310.6,1611.0,35.2,70.0,0,No Failure
M,301.1,310.6,1479.0,41.1,72.0,0,No Failure
L,301.0,310.5,1317.0,50.9,75.0,0,No Failure
L,301.0,310.5,1248.0,61.4,77.0,0,No Failure
L,301.0,310.5,1932.0,21.7,79.0,0,No Failure
M,301.1,310.5,1547.0,35.8,81.0,0,No Failure
L,301.0,310.4,1614.0,31.6,84.0,0,No Failure
H,301.0,310.4,1512.0,44.9,86.0,0,No Failure
L,301.1,310.5,1529.0,38.7,91.0,0,No Failure
H,301.1,310.6,1782.0,24.9,93.0,0,No Failure
L,301.0,310.5,1429.0,39.4,98.0,0,No Failure
M,301.1,310.5,1309.0,60.7,100.0,0,No Failure
L,301.1,310.5,1428.0,44.1,103.0,0,No Failure
L,301.2,310.6,1385.0,49.2,105.0,0,No Failure
L,301.2,310.7,1517.0,39.4,107.0,0,No Failure
M,301.2,310.6,1576.0,39.6,109.0,0,No Failure
L,301.2,310.6,1437.0,51.2,112.0,0,No Failure
H,301.2,310.6,1457.0,50.5,114.0,0,No Failure
L,301.1,310.5,1532.0,37.5,119.0,0,No Failure
M,301.1,310.5,1603.0,32.6,121.0,0,No Failure
L,301.0,310.4,1563.0,34.4,124.0,0,No Failure
L,301.0,310.3,1617.0,34.5,126.0,0,No Failure
M,300.8,310.1,1686.0,26.9,128.0,0,No Failure
L,300.9,310.2,1382.0,50.4,131.0,0,No Failure
L,300.9,310.1,2090.0,17.8,133.0,0,No Failure
L,300.9,310.3,1446.0,44.5,135.0,0,No Failure
M,300.9,310.2,1533.0,38.1,137.0,0,No Failure
L,300.9,310.3,1440.0,47.6,140.0,0,No Failure
M,301.0,310.4,1793.0,25.0,142.0,0,No Failure
M,301.0,310.4,1517.0,46.1,145.0,0,No Failure
L,300.9,310.4,1544.0,36.0,148.0,0,No Failure
L,300.9,310.3,1321.0,48.8,150.0,0,No Failure
M,300.9,310.3,1416.0,50.9,152.0,0,No Failure
L,300.8,310.2,1514.0,40.0,155.0,0,No Failure
M,300.8,310.2,1304.0,52.5,157.0,0,No Failure
L,300.7,310.2,1286.0,64.9,160.0,0,No Failure
M,300.7,310.1,1483.0,40.2,162.0,0,No Failure
L,300.7,310.1,1351.0,46.9,165.0,0,No Failure
M,300.7,310.1,1367.0,52.6,167.0,0,No Failure
L,300.7,310.1,1721.0,32.3,170.0,0,No Failure
L,300.6,310.0,1455.0,40.4,172.0,0,No Failure
L,300.6,310.0,1425.0,49.5,174.0,0,No Failure
L,300.7,310.0,1672.0,29.7,176.0,0,No Failure
M,300.7,310.0,1641.0,34.6,178.0,0,No Failure
M,300.5,310.0,1580.0,37.0,181.0,0,No Failure
H,300.5,310.0,1495.0,47.4,184.0,0,No Failure
M,300.5,309.9,1994.0,19.8,189.0,0,No Failure
M,300.4,309.9,1415.0,31.8,192.0,0,No Failure
M,300.4,309.8,1725.0,30.4,195.0,0,No Failure
M,300.4,309.8,1430.0,43.4,198.0,0,No Failure
L,300.4,309.8,1395.0,48.1,201.0,0,No Failure
M,300.4,309.8,1435.0,43.6,203.0,0,No Failure
L,300.4,309.9,1681.0,28.6,206.0,0,No Failure
L,300.5,310.0,1451.0,48.6,208.0,0,No Failure
H,300.5,309.9,1397.0,45.9,210.0,1,TWF
M,300.4,309.8,1421.0,47.2,0.0,0,No Failure
M,300.3,309.8,1444.0,42.0,3.0,0,No Failure
L,300.2,309.8,1827.0,23.0,6.0,0,No Failure
H,300.2,309.8,1374.0,47.7,8.0,0,No Failure
L,300.2,309.8,1650.0,29.6,13.0,0,No Failure
L,300.2,309.7,1275.0,60.7,15.0,0,No Failure
L,300.2,309.7,1421.0,44.6,17.0,0,No Failure
L,300.2,309.8,1557.0,33.8,19.0,0,No Failure
L,300.1,309.8,1506.0,35.2,21.0,0,No Failure
L,300.1,309.7,1362.0,49.1,23.0,0,No Failure
L,300.0,309.7,1542.0,47.1,25.0,0,No Failure
L,300.0,309.6,1496.0,38.8,27.0,0,No Failure
M,300.0,309.6,1491.0,42.0,29.0,0,No Failure
L,300.1,309.6,1565.0,34.8,32.0,0,No Failure
L,300.1,309.7,1481.0,37.9,34.0,0,No Failure
M,300.1,309.7,1420.0,48.4,36.0,0,No Failure
L,300.2,309.8,1398.0,54.8,39.0,0,No Failure
M,300.2,309.8,1466.0,45.7,41.0,0,No Failure
L,300.1,309.8,1430.0,56.7,44.0,0,No Failure
L,300.1,309.7,1441.0,40.1,46.0,0,No Failure
M,300.1,309.7,1348.0,57.3,48.0,0,No Failure
L,300.0,309.6,1738.0,28.7,51.0,0,No Failure
M,300.0,309.6,1618.0,36.2,53.0,0,No Failure
M,299.9,309.6,1489.0,41.7,56.0,0,No Failure
M,299.9,309.5,1412.0,57.9,59.0,0,No Failure
M,299.9,309.5,2065.0,18.1,62.0,0,No Failure
L,300.0,309.6,1571.0,33.1,65.0,0,No Failure
M,300.0,309.6,1423.0,48.7,67.0,0,No Failure
H,300.0,309.5,1781.0,24.9,70.0,0,No Failure
L,300.1,309.6,1321.0,46.9,75.0,0,No Failure
L,300.1,309.6,1546.0,36.7,77.0,0,No Failure
M,300.0,309.5,1879.0,22.4,79.0,0,No Failure
H,300.0,309.5,1735.0,28.9,82.0,0,No Failure
L,300.0,309.5,1506.0,38.8,87.0,0,No Failure
H,300.0,309.6,1629.0,32.3,89.0,0,No Failure
L,300.0,309.6,1694.0,28.7,94.0,0,No Failure
L,300.1,309.6,1541.0,37.0,96.0,0,No Failure
L,300.0,309.6,1514.0,44.6,98.0,0,No Failure
L,300.1,309.7,1485.0,45.9,100.0,0,No Failure
L,300.2,309.8,1430.0,55.0,102.0,0,No Failure
L,300.2,309.7,1771.0,27.1,104.0,0,No Failure
L,300.2,309.8,1481.0,41.9,106.0,0,No Failure
H,300.2,309.7,1483.0,43.8,108.0,0,No Failure
H,300.1,309.6,1463.0,45.1,113.0,0,No Failure
L,300.1,309.7,1410.0,48.3,118.0,0,No Failure
L,300.2,309.7,1656.0,34.3,120.0,0,No Failure
M,300.2,309.8,1487.0,39.2,122.0,0,No Failure
H,300.3,309.9,1509.0,46.6,125.0,0,No Failure
H,300.3,309.9,1677.0,30.1,130.0,0,No Failure
L,300.3,309.8,1450.0,55.0,135.0,0,No Failure
M,300.2,309.7,1413.0,43.0,137.0,0,No Failure
L,300.1,309.7,1680.0,33.8,140.0,0,No Failure
L,300.2,309.7,1678.0,30.5,142.0,0,No Failure
M,300.2,309.7,1408.0,44.0,144.0,0,No Failure
M,300.1,309.6,1376.0,52.1,147.0,0,No Failure
L,300.0,309.6,1526.0,46.4,150.0,0,No Failure
M,300.0,309.6,1587.0,32.6,152.0,0,No Failure
L,300.1,309.7,1351.0,58.2,155.0,0,No Failure
M,300.1,309.6,1501.0,38.0,157.0,0,No Failure
L,300.1,309.7,1601.0,35.8,160.0,0,No Failure
M,300.0,309.6,1573.0,39.7,162.0,0,No Failure
M,300.1,309.6,1584.0,36.7,165.0,0,No Failure
L,300.1,309.6,1649.0,33.6,168.0,0,No Failure
M,300.2,309.7,1183.0,61.4,170.0,0,No Failure
L,300.1,309.7,2151.0,17.5,173.0,0,No Failure
L,300.2,309.8,1526.0,45.6,175.0,0,No Failure
M,300.3,309.9,1611.0,29.0,177.0,0,No Failure
L,300.3,309.9,1601.0,31.7,180.0,0,No Failure
L,300.3,310.0,1560.0,40.8,182.0,0,No Failure
L,300.4,310.1,1544.0,41.9,184.0,0,No Failure
M,300.4,310.0,1560.0,42.3,186.0,0,No Failure
L,300.4,310.0,1423.0,44.2,189.0,0,No Failure
L,300.4,310.1,1614.0,33.5,191.0,0,No Failure
M,300.4,310.1,1457.0,35.1,193.0,0,No Failure
L,300.4,310.1,1503.0,42.2,196.0,0,No Failure
H,300.4,310.1,1484.0,38.0,198.0,0,No Failure
L,300.3,309.9,1540.0,39.9,203.0,0,No Failure
H,300.3,309.9,1405.0,52.1,205.0,0,No Failure
H,300.3,309.9,1394.0,46.7,210.0,1,TWF
L,300.3,309.9,1518.0,36.4,0.0,0,No Failure
L,300.3,309.9,1527.0,41.4,2.0,0,No Failure
L,300.3,309.9,1377.0,55.3,4.0,0,No Failure
M,300.3,310.0,1537.0,37.5,6.0,0,No Failure
M,300.3,310.0,1409.0,43.2,9.0,0,No Failure
L,300.3,309.9,1393.0,56.1,12.0,0,No Failure
L,300.2,309.7,1448.0,36.8,14.0,0,No Failure
L,300.2,309.8,1418.0,49.3,16.0,0,No Failure
M,300.2,309.8,1743.0,24.1,18.0,0,No Failure
M,300.2,309.8,1394.0,47.4,21.0,0,No Failure
L,300.3,309.8,1523.0,39.2,24.0,0,No Failure
L,300.2,309.8,1353.0,59.4,26.0,0,No Failure
M,300.3,309.9,1447.0,46.5,28.0,0,No Failure
L,300.3,309.9,1570.0,34.0,31.0,0,No Failure
M,300.3,309.9,1494.0,38.5,33.0,0,No Failure
L,300.3,309.9,1621.0,34.1,36.0,0,No Failure
L,300.4,310.0,1769.0,26.1,38.0,0,No Failure
L,300.4,310.0,1282.0,66.1,40.0,0,No Failure
L,300.4,310.0,1581.0,30.3,42.0,0,No Failure
L,300.6,310.1,1656.0,32.7,44.0,0,No Failure
L,300.6,310.2,1648.0,31.7,46.0,0,No Failure
L,300.7,310.2,1639.0,31.4,48.0,0,No Failure
L,300.7,310.2,1348.0,54.8,50.0,0,No Failure
L,300.8,310.3,1537.0,33.3,52.0,0,No Failure
M,300.8,310.3,1270.0,61.0,54.0,0,No Failure
L,300.7,310.3,1662.0,34.4,57.0,0,No Failure
M,300.7,310.3,1471.0,40.2,59.0,0,No Failure
L,300.6,310.1,1337.0,45.8,62.0,0,No Failure
H,300.7,310.2,1877.0,24.8,64.0,0,No Failure
L,300.6,310.2,1519.0,44.6,69.0,0,No Failure
L,300.6,310.2,1378.0,47.3,71.0,0,No Failure
L,300.7,310.2,1696.0,27.5,73.0,0,No Failure
L,300.7,310.1,1376.0,50.8,75.0,0,No Failure
L,300.7,310.2,1807.0,24.2,77.0,0,No Failure
L,300.7,310.1,1598.0,32.8,79.0,0,No Failure
L,300.7,310.1,1565.0,40.2,81.0,0,No Failure
L,300.7,310.2,1387.0,50.6,83.0,0,No Failure
L,300.7,310.0,1395.0,48.0,85.0,0,No Failure
M,300.6,310.0,1302.0,62.9,87.0,0,No Failure
M,300.6,310.0,1397.0,55.2,90.0,0,No Failure
L,300.6,310.0,1313.0,52.9,93.0,0,No Failure
L,300.6,310.0,1505.0,35.9,95.0,0,No Failure
H,300.6,310.0,1483.0,44.0,97.0,0,No Failure
H,300.5,310.0,1358.0,60.4,102.0,0,No Failure
M,300.5,309.9,1735.0,27.0,107.0,0,No Failure
M,300.5,309.8,1416.0,48.5,110.0,0,No Failure
L,300.4,309.7,1740.0,31.1,113.0,0,No Failure
L,300.4,309.7,1692.0,27.4,115.0,0,No Failure
L,300.5,309.8,1507.0,42.5,117.0,0,No Failure
M,300.4,309.6,1521.0,35.0,119.0,0,No Failure
L,300.4,309.6,1379.0,54.5,122.0,0,No Failure
L,300.4,309.6,1523.0,38.5,124.0,0,No Failure
H,300.4,309.6,1571.0,33.6,126.0,0,No Failure
H,300.4,309.5,1547.0,50.7,131.0,0,No Failure
M,300.5,309.7,1347.0,54.3,136.0,0,No Failure
L,300.5,309.7,1560.0,30.2,139.0,0,No Failure
L,300.5,309.7,1384.0,48.6,141.0,0,No Failure
L,300.5,309.7,1841.0,24.6,143.0,0,No Failure
L,300.6,309.8,1418.0,42.7,147.0,0,No Failure
L,300.7,309.9,1775.0,26.6,149.0,0,No Failure
L,300.7,309.8,1406.0,48.4,151.0,0,No Failure
L,300.6,309.9,1480.0,43.7,153.0,0,No Failure
L,300.7,309.9,1412.0,45.3,155.0,0,No Failure
H,300.6,309.8,1913.0,22.5,157.0,0,No Failure
L,300.6,309.8,1629.0,37.6,162.0,0,No Failure
L,300.5,309.8,1939.0,21.4,164.0,0,No Failure
H,300.6,309.8,1541.0,36.2,166.0,0,No Failure
L,300.7,309.8,1330.0,54.4,171.0,0,No Failure
M,300.7,309.8,1490.0,38.8,173.0,0,No Failure
L,300.7,309.9,1383.0,44.5,176.0,0,No Failure
L,300.8,310.0,1468.0,52.7,178.0,0,No Failure
M,300.8,309.9,1444.0,46.0,180.0,0,No Failure
L,300.7,309.8,1363.0,53.1,183.0,0,No Failure
L,300.6,309.7,1617.0,33.2,185.0,0,No Failure
M,300.6,309.8,1694.0,31.1,187.0,0,No Failure
L,300.7,309.9,1815.0,27.0,190.0,0,No Failure
L,300.8,309.9,1312.0,65.3,192.0,1,OSF
H,300.8,309.9,2041.0,19.2,194.0,0,No Failure
L,300.9,310.0,1671.0,26.8,199.0,0,No Failure
M,300.9,310.0,1416.0,46.6,201.0,0,No Failure
M,300.9,310.0,1600.0,36.0,204.0,0,No Failure
L,300.9,310.0,2595.0,13.7,207.0,0,No Failure
M,300.9,309.9,1465.0,42.9,209.0,0,No Failure
M,301.0,310.1,1681.0,27.4,212.0,0,No Failure
L,301.1,310.1,1457.0,39.6,215.0,0,No Failure
H,301.0,310.1,1454.0,44.1,217.0,0,No Failure
L,301.0,310.1,1558.0,32.6,0.0,0,No Failure
H,301.0,310.1,1756.0,30.7,2.0,0,No Failure
L,301.1,310.1,1564.0,36.8,7.0,0,No Failure
L,301.1,310.2,1455.0,55.3,9.0,0,No Failure
M,301.2,310.1,2280.0,15.7,11.0,0,No Failure
M,301.1,310.0,1433.0,48.1,14.0,0,No Failure
L,301.1,310.0,1513.0,38.0,17.0,0,No Failure
L,301.0,309.9,1507.0,41.8,19.0,0,No Failure
L,301.0,310.0,1480.0,43.5,21.0,0,No Failure
